code,francais,latin,strate
SHP,Shepherdie du Canada,Shepherdia canadensis,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
SMR,Smilacine à grappes,Smilacina racemosa,LATIFOLIÉS (STRATE 21)
SMS,Smilacine étoilée,Smilacina stellata,LATIFOLIÉS (STRATE 21)
SMT,Smilacine trifoliée,Smilacina trifolia,LATIFOLIÉS (STRATE 21)
SOA,Sorbier d'Amérique,Sorbus americana,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
SOD,Sorbier des montagnes,Sorbus decora,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
SOF,Verge d'or à tige zigzaguante,Solidago flexicaulis,LATIFOLIÉS (STRATE 21)
SOH,Verge d'or hispide,Solidago hispida,LATIFOLIÉS (STRATE 21)
SOM,Verge d'or à grandes feuilles,Solidago macrophylla,LATIFOLIÉS (STRATE 21)
SON,Laiterons,Sonchus sp.,LATIFOLIÉS (STRATE 21)
SOR,Verge d'or rugueuse,Solidago rugosa,LATIFOLIÉS (STRATE 21)
SOS,Verges d'or,Solidago sp.,LATIFOLIÉS (STRATE 21)
SPF,Sphaigne brune,Sphagnum fuscum,SPHAIGNES (STRATE 12)
SPG,Sphaigne de Girgensohn,Sphagnum girgensohnii,SPHAIGNES (STRATE 12)
SPL,Spirée à larges feuilles,Spiraea latifolia,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
SPM,Sphaigne de Magellan,Sphagnum magellanicum,SPHAIGNES (STRATE 12)
SPQ,Sphaigne squarreuse,Sphagnum squarrosum,SPHAIGNES (STRATE 12)
SPS,Sphaignes,Sphagnum sp.,SPHAIGNES (STRATE 12)
SPT,Spirée tomenteuse,Spiraea tomentosa,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
STA,Streptope amplexicaule,Streptopus amplexifolius,LATIFOLIÉS (STRATE 21)
STP,Stéréocaule pascal,Stereocaulon paschale,LICHENS (STRATE 13)
STR,Streptope rose,Streptopus roseus,LATIFOLIÉS (STRATE 21)
STS,Stellaires,Stellaria sp.,LATIFOLIÉS (STRATE 21)
SYF,Symplocarpe fétide,Symplocarpus foetidus,LATIFOLIÉS (STRATE 21)
TAC,If du Canada,Taxus canadensis,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
TAO,Pissenlit officinal,Taraxacum officinale,LATIFOLIÉS (STRATE 21)
THD,Pigamon dioïque,Thalictrum dioicum,LATIFOLIÉS (STRATE 21)
THO,Thuya occidental,Thuja occidentalis,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
THP,Pigamon pubescent,Thalictrum pubescens (Thalictrum polygamum),LATIFOLIÉS (STRATE 21)
TIC,Tiarelle cordifoliée,Tiarella cordifolia,LATIFOLIÉS (STRATE 21)
TIL,Tilleul d'Amérique,Tilia americana,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
TRB,Trientale boréale,Trientalis borealis,LATIFOLIÉS (STRATE 21)
TRC,Trille penché,Trillium cernuum,LATIFOLIÉS (STRATE 21)
TRE,Trille dressé,Trillium erectum,LATIFOLIÉS (STRATE 21)
TRF,Trèfles,Trifolium sp.,LATIFOLIÉS (STRATE 21)
TRG,Trille grandiflore,Trillium grandiflorum,LATIFOLIÉS (STRATE 21)
TRU,Trille ondulé,Trillium undulatum,LATIFOLIÉS (STRATE 21)
TYL,Typha à feuilles larges,Typha latifolia,LATIFOLIÉS (STRATE 21)
UVG,Uvulaire grandiflore,Uvularia grandiflora,LATIFOLIÉS (STRATE 21)
UVS,Uvulaire à feuilles sessiles,Uvularia sessilifolia,LATIFOLIÉS (STRATE 21)
VAA,Airelle à feuilles étroites,Vaccinium angustifolium,"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
VAC,Airelle gazonnante,Vaccinium cespitosum,"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
VAM,Airelle fausse myrtille,Vaccinium myrtilloides,"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
VAO,Airelle canneberge,Vaccinium oxycoccos,LATIFOLIÉS (STRATE 21)
VAU,Airelle des marécages,Vaccinium uliginosum,"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
VAV,Airelle vigne-d'Ida,Vaccinium vitis-idaea,LATIFOLIÉS (STRATE 21)
VAY,Airelle en corymbe,Vaccinium corymbosum,"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
VEI,Vérâtre vert (tabac du diable),Veratrum viride,LATIFOLIÉS (STRATE 21)
VEJ,Vesce jargeau,Vicia cracca,LATIFOLIÉS (STRATE 21)
VEO,Véronique officinale,Veronica officinalis,LATIFOLIÉS (STRATE 21)
VIC,Viorne cassinoïde,Viburnum cassinoides,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
VIE,Viorne comestible,Viburnum edule,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
VIL,Viorne à feuilles d'aulne,Viburnum alnifolium,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
VIN,Violette du Canada,Viola canadensis,LATIFOLIÉS (STRATE 21)
VIP,Violette pâle,Viola pallens,LATIFOLIÉS (STRATE 21)
VIR,Vigne des rivages,Vitis riparia,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
VIS,Violettes,Viola sp.,LATIFOLIÉS (STRATE 21)
VIT,Viorne trilobée,Viburnum trilobum,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
VIV,Violette de Pennsylvanie,Viola pensylvanica,LATIFOLIÉS (STRATE 21)
WAF,Waldsteinie faux fraisier,Waldsteinia fragiarioides,LATIFOLIÉS (STRATE 21)
